"ad_id","ad_subject","ad_body","ad_price"
12000549,"Vespa PX 125E","Die Vespa ist in gutem Zustand. Letzte MFK: August 2015. KM-Stand: 46'000km.",2500
12000548,"Garopesani, période suisse","Grand album cartonné de 66 planches en couleurs publié par l'auteur à Ecuvillens en 1984.                                                                                 L'exemplaire est comme neuf.",18
12000547,"Furgone Citroen C15 1.9 Diesel","anno 2005 km 99000 diesel manuale auto perfetta",1000
12000546,"Kinderwagen","Kinderwagen zu verkaufen...da es zu klein  ist für unsere Tochter. Der Kinderwagen wurde im April 2016 gekauft.

Nichts ist defekt hat kleine Gebrauchsspuren.Müsste gereinigt werden.

Neupreis 129.- bei Toys R us.

078 925 03 30",60
12000545,"Carrello bici","vendo carrello per bambini come nuovo usato poche volte
freno, capota pioggia.
ritiro a locarno",170
12000544,"Ps1 Driver ","Driver zu verkaufen für Sony Playstation
 
 
 
Noch weitere Spiele zu verkaufen: Nintendo - Nes - Super Nintendo - Nintendo 64 - Gamecube - Wii - Wii U - Game Boy Color & Advance - Nintendo DS - Nintendo 3DS",4
12000543,"Hanteln 1.5 kg & Springseil","Hanteln aus Vinyl, 2 Stück à 1.5kg, ideal um den Oberkörper und die Arme zu trainieren
& Springseil. 

(Abholung) 

Bei Fragen oder Interesse gerne melden.",10
12000542,"Xbox Fable: The Lost Chapters ","Fable: The Lost Chapters zu verkaufen für Microsoft Xbox
 
 
 
Noch weitere Spiele zu verkaufen: Nintendo - Nes - Super Nintendo - Nintendo 64 - Gamecube - Wii - Wii U - Game Boy Color & Advance - Nintendo DS - Nintendo 3DS",7
12000541,"vendo dr racing kf2","vendo come da titolo dr racing 2014, il telaio viene dal reparto corse il motore è un tm kf 2 ancora da rodare, appena cambiata la testa.
vendo per cambio di categoria",3500
12000540,"Gentil Dame","Gentil Dame cherche travail  de maison, ,ménage, repassage, garde de enfants , personnes âgée avec références et très bonnes expériences  merci de me contacter 076 285 17 34",NA
12000539,"Judo Jiujitsu Karate Anzug Gr. 150","Kinderanzug Gr. 150 für Karate Jiusitsu Judo",30
12000538,"3 x Herren Schuhe gr.40","3 Paar Herren Schuhe ,eins davon ist Neu nie getragen und die anderen wenig getragen. In guter Zustand.Muss weg geben, da für mich zu klein geworden sind.
Mann kann auch einzeln haben, je Fr.18.-",45
12000537,"kleiderstuhl, neu","kleiderstuhl, neuwertig",10
12000536,"Helle, ruhige 1,5 ZKB mit Balkon u. TG zu vermieten","Helle Wohnung mit 1,5 Zimmern, Küche, Bad, Balkon und TG in ruhiger Wohnlage beim Spital Wil (Wohngebiet Am Weidle) zu vermieten. Gesamtmiete 780 Euro/Monat
Bezug  zum 1.12.16 oder nach Vereinbarung",780
12000535,"Kreditkartenmesser","Dieses Messer ist ein kleines leichtes aber scharfes Taschenmesser, welches die Grösse einer normalen Kreditkarte oder eines normalen Ausweises besitzt. Wenn man es gemäss Anleitung faltet, bekommt man ein täglich hilfreiches Werkzeug, welches problemlos in jedes Portemonnaie und in eine geeignete Smartphonehülle passt (siehe Bild). Es ist konzipiert für gelegentliche Aufträge im Alltag. Es ist leider nicht stabil genug für Outdoorzwecke.

Grösse: 88 mm x 55 mm x 2 mm
Klinge: ca. 69 mm (ohne Schaft)
Material: Kunstoff (Klinge natürlich aus Metall)

Das Messer ist neu und originalverpackt.
Wir haben noch 3 Stück.
Der Versand (innerhalb der Schweiz) kostet 1.50 CHF zusätzlich pro Bestellung (Brief A-Post + Polsterverpackung). 

Zögern Sie nicht uns bei Fragen zu kontaktieren.

Bitte beachten Sie, dass dieses Messer KEIN Spielzeug ist und nur auf die Verantwortung der Eltern an Minderjährige ausgehändigt werden darf. Wir lehnen jegliche Haftung ab.
Das Messer ist in der Schweiz erlaubt (zählt nicht als Waffe und ist nicht bewilligungs- oder meldepflichtig).",5
12000534,"Kunstleder Bett","gebrauchtes 160x200 Bett keine risse, ohne matraze
ist schon demontiert und muss abgeholt werden.

mit matraze und lettlirost 150.-",100
12000533,"Schöner Lounge/Couchtisch","Sehr schöner Lounge/Couchtisch in gutem Zustand zu verkaufen.
Maasse: 1mx1m",80
12000532,"body bambina per la danza,ginnastica","vendo body nuove vari colori e misure per le bambine 
per la danza o ginnastica 
prezzo di uno è 12 fr
in blocco di 15 pezzi è 120fr",12
12000531,"Ganzjahres Stellplatz inkl. Wohnwagen mit festem Anbau","Sehr gepflegter ganzjahres Stellplatz inkl. Wohnwagen mit festem Anbau und Garten an schöner Lage. Der Campingplatz Seemattli in Seewen SZ befindet sich direkt am Lauerzersee neben der Badi und dem Eisstadion.

Wir bieten:

Einen schön ausgebauten Wohnwagenanhänger (12 m2) mit:
- 1 Schlafzimmer mit einem Einzelbett.
- 1 Einbauschrank
- 1 Schreibtisch
- 1 Abstellraum der als WC genutzt werden kann
(Ein grossteil des Innenbereichs wurde zusätzlich isoliert)

Ein schön ausgebauter Fest-Vorbau (12 m2/Winterfest) mit:
- Küche inkl. Backofen, 4 Herdplatten, Dampfabzug, Kühlschrank und einer Spühle.
- Esstisch
- Sofa
- Div. Möbel

Der Aussenplatz (25m2) bietet:
Einen Sitzplatz mit einer Hecke als Sichtschutz und 3 hübschen Blumenbeeten.

Parkplätze sind reichlich vorhanden.

Die Jahresgebühr für die Platzmiete, Kurtaxe und Kehrichtabfuhr beträgt jeweils je nach Stromverbrauch ca: 3100 CHF

Der Campingplatz Seemattli ist ein ganzjahres Campingplatz und verfügt über ein eigenes Restaurant mit WC Anlagen und Duschen.

Seewen liegt zudem in der prächtigen Mythenregion welche über div. Wander- und Mountainbikerouten verfügt.

In den kalten Jahreszeiten kommen auch Wintersportler voll auf Ihre Kosten mit den Skigebiet Hoch Ybrig (ca. 20 Autominuten entfernt) und Stoos (ca. 10 Autominuten entfernt). 

Dieses Objekt ist ideal für naturverbundene Leute, junge Familien und jung gebliebene Personen.

Wir verkaufen schweren Herzens aus beruflichen Gründen.",16000
12000530,"BMW 325i CABRIO Frisch ab mfk 13.09.2016 Frisch ab service","Top Angebot ° Navigationssystem ° Sitzheizung ° Xenon° Leder ° Tempomat° 8 fach bereift °Sommerfelgen 18zoll+ Winterfelgen au 18 zoll ;Service gepflegt Frisch ab mfk am 13.09.2016 Frisch ab service BMW 325i Cabrio..km:183001...tel:076 705 99 16.
````::::::::FIXPREIS:::::::::````",11500
12000529,"Iphone 6 Plus 64gb schwarz","top zustand wenig gebrauchsspuren
wegen dem kauf von iphone 7 zu verkaufen
akku gerät und schachtel dabei",450
12000528,"Inlinskate","Super bequeme Inlinskate 
Gr.43",19
12000527,"BYGLAND Ikea Schlafsofa / Tagesbett inkl. 1 Matraze","Wir verschenken unser BYGLAND Ikea Tagesbett. 

Wir geben das Bett in Kombi mit 1 Sultan Matratze für 40 CHF ab. Die Matratze wurde nur mit Schoner genutzt und ist sehr gut erhalten.

Das Bett weisst Gebrauchsspuren und ein paar kleinere Risse auf und muss bei Bedarf vom Abholder demontiert werden.",40
12000526,"Recinto per conigli","Recinto nuovo. Mai usato",20
12000525,"Nissan Datsun urvan","Vendo furgone Nissan Datsun urvan, anno 1984, colore Bianco, carburante Benzina, km 212, 400, lungo passo tutto funziona. Buon'affare.",2700
12000524,"iPhone 6 (64GB) + Battery Case","Vendo iPhone 6 color Silver da 64GB.
Compresa una cover che ricarica il telefono fino al 100%.
Usato per soli 3 mesi e in buonissime condizioni.",470
12000523,"dringen gesucht zimmer oder WG-zimmer","suche dringen Zimmer vom Dezember bis April also über Winter wegen arbeitsweg. bin 20jahr männlich nicht Raucher, wehr kann mir etwas anbieten. vielen dank",500
12000522,"Becker Monza Autoradio mit Nadelstreifen","Suche Beker Monza Autoradio in gutem Zustand.",NA
12000521,"Ps3 Naughty Bear Gold Edition ","Naughty Bear Gold Edition zu verkaufen für Sony Playstation 3
 
 
 
Noch weitere Spiele zu verkaufen: Nintendo - Nes - Super Nintendo - Nintendo 64 - Gamecube - Wii - Wii U - Game Boy Color & Advance - Nintendo DS - Nintendo 3DS",11
12000520,"Seat Alhambra 2.0TDI St.Ad.4x4","4x4, Klima, Sportfahrwerk, CD, ESP, Partikelfilter, &lt;MT&lt;M1009&lt;TJetzt erst recht ! Super Familien-Van mit 4x4 und hochwertiger Ausstattung. Importfahrzeug mit Garantie. Lassen Sie sich dieses Fahrzeug noch heute von Hr. Fallegger offerieren und profitieren Sie von den aktuellen Euro-Vorteilen. Es lohnt sich! Wir freuen uns auf Sie.&lt;/T, Seat Alhambra 2.0TDI St.Ad.4x4,  Transport Paket, Winter-Paket, Fahrassistenzpaket, Technikpaket I, Technikpaket II, Bi-Xenon-Lichtanlage mit Kurvenlic",38600
12000519,"SEGGIOLINO AUTO RÖMER 15-36 KG","VENDO SEGGIOLINO AUTO GRUPPO 2 (15-36 KG ) DELLA BRITAX RÖMER A FR. 50.-

Ancora in buono stato . Già tutto lavato e pronto all'uso.

- Solo per cinture quindi non isofix. 
 - Omologato
 - Con porta-borraccia sui laterali",50
12000518,"Olympus OM-D E-M5 + 12-50mm + Blitz","Kamera und Objektiv sind wie neu! Weniger als 1400(!) Auslösungen.

OVP mit blitz, Netzkabel, Ladegerät, Trageriemen, USB-Kabel, Front & Rückdeckel.

Kamera & Objektiv (Olympus M.Zuiko Digital ED 12-50mm 1:3.5-6.3 EZ) sind Staub- und spritzwassergeschützt.

Besichtigung im Luzern möglich.",500
12000517,"Tafel","Kinder Mal Tafel",12
12000516,"Lichterkette","Batteriebetrieben

Postversand + 7.-",10
12000515,"Vendo Samsung Galaxy S7 32gb Black","vendo samsung galaxy s7 32gb Black con accessori e scatola usato pochissimo senza problemi di nessun tipo e tenuto in perfetto stato,unico problema ha dei segni leggeri sui 2 lati ma che pero non si notano molto
vendo a 550fr.
solo sms oppure chiamare dopo le 14:00",550
12000514,"Seat Ibiza 1.8 Turbo","Fahrzeug aus zweiter Hand, wurde ab 7000km von einer Frau gefahren. Das Fahrzeug hat jetzt etwa 225000km. Normale Gebrauchsspuren und hat etwas Rost am Heckdeckel. Mit MFK. Achtfach bereift",2700
12000513,"MSI 1736 Intel® Core i5 processor M540 2,53GHz2,53Ghz","Betriebssystem  Windows® 7 Home Premium
MSI 1736 Intel® Core i5 processor M540 2,53GHz@2,53Ghz
LCD Größe 17.3"" 1600x900 
Intel® Core&#153; i5 Processor Chipsatz Intel® HM55 Grafik Intel® HD Graphic Grafik VRAM share with system 
Arbeits Speicher DDR3 4GB, HDD 400GB SATA ,Opt. Laufwerk Super-Multi Webcam 1.3M Tastatur 103 keys LAN 10/100/1000 Wireless LAN 802.11b/g/n Bluetooth optional Audio 2 High Quality Stereo Speakers + 1 Subwoofer Mikrofon/Kopfhörer 1 USB 2.0 Anschluss 3 Card Reader SD/MMC/MS/XD D-Sub (VGA) 1 HDMI 1 Akku 6 cells Netzteil 65W Abmessungen 414(L) X 267.5(D) X 33.7~37(H)mm Gewicht (KG) 3
Hat gebrauchsspuren kleinere kratzer wie jedes Gebrauchtes Notebook,
Installierte Software - Open Office- Nitro Reader, Avira Antivirus.
Netzteil wurde ersetzt kein Original, Wireless Logitech Maus.
Ohne Garantie. Bitte keine SMS senden, beatntwortet werden E-Mails und Telefonanrufe",120
